Fecha,Hora,Categoría,Proveedor,Producto,Unidad,Cantidad,Precio_Unitario,Subtotal,IGV,Total,Observaciones
2026-01-05,10:30,CARNES,Grupo Granja Andina,pechuga de pollo fresco,kg,20.3806,S/273.10,S/556.58,S/100.17,S/656.75,IGV incluido
2026-01-05,11:00,CARNES,Granja Andina S.A.C,jamonada con pollo 200gr,und,10,S/4.00,S/40.00,S/7.20,S/47.20,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,zanahoria,arrobas,2,S/50.00,S/100.00,S/18.00,S/118.00,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,apio,kg,0.25,S/6.00,S/1.50,S/0.27,S/1.77,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,poro,kg,0.25,S/7.00,S/1.75,S/0.32,S/2.07,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,zapallo,kg,0.75,S/9.00,S/6.75,S/1.21,S/7.96,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,ajo pelado,kg,0.25,S/14.00,S/3.50,S/0.63,S/4.13,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,cebolla,arrobas,2,S/40.00,S/80.00,S/14.40,S/94.40,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,haba,arroba,0.25,S/7.50,S/1.88,S/0.34,S/2.22,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,haba,arroba,0.25,S/12.00,S/3.00,S/0.54,S/3.54,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,limón,ciento,1,S/18.00,S/18.00,S/3.24,S/21.24,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,maracuyá,kg,4,S/32.00,S/128.00,S/23.04,S/151.04,IGV incluido
2026-01-05,11:30,VERDURAS Y FRUTAS,Verduras,veterraga,arroba,1,S/35.00,S/35.00,S/6.30,S/41.30,IGV incluido
2026-01-05,12:00,VERDURAS Y FRUTAS,Verduras Margarita,camote,,1,S/35.00,S/35.00,S/6.30,S/41.30,IGV incluido
2026-01-05,12:00,VERDURAS Y FRUTAS,Verduras Margarita,lechuga,,1,S/35.00,S/35.00,S/6.30,S/41.30,IGV incluido
2026-01-05,12:00,VERDURAS Y FRUTAS,Verduras Margarita,brócoli,,1,S/35.00,S/35.00,S/6.30,S/41.30,IGV incluido
2026-01-05,12:30,VERDURAS Y FRUTAS,Papa,papa,antes de comprar saco,S/25.00,S/25.00,S/4.50,S/29.50,IGV incluido
2026-01-05,12:30,VERDURAS Y FRUTAS,Papa,papa,sac,S/220.00,S/220.00,S/39.60,S/259.60,IGV incluido
2026-01-05,13:00,VERDURAS Y FRUTAS,Frutas,durazno entero,kg,3,S/26.00,S/78.00,S/14.04,S/92.04,IGV incluido
2026-01-05,13:00,VERDURAS Y FRUTAS,Frutas,fresa,kg,3,S/21.00,S/63.00,S/11.34,S/74.34,IGV incluido
2026-01-05,13:00,VERDURAS Y FRUTAS,Frutas,plátano,ciento,1,S/24.00,S/24.00,S/4.32,S/28.32,IGV incluido
2026-01-05,13:00,VERDURAS Y FRUTAS,Frutas,naranja,ciento,1,S/35.00,S/35.00,S/6.30,S/41.30,IGV incluido
2026-01-05,13:00,VERDURAS Y FRUTAS,Frutas,papaya,und,6,S/51.00,S/306.00,S/55.08,S/361.08,IGV incluido
2026-01-05,13:00,VERDURAS Y FRUTAS,Frutas,sandía,und,1,S/23.00,S/23.00,S/4.14,S/27.14,IGV incluido
2026-01-05,14:00,PANADERÍA,Pan,pan integral,pqt,3,S/7.00,S/21.00,S/3.78,S/24.78,IGV incluido
2026-01-05,14:00,PANADERÍA,Pan,pan blanco,pqt,3,S/6.50,S/19.50,S/3.51,S/23.01,IGV incluido
2026-01-05,14:00,PANADERÍA,Pan,pan valencia,und,100,S/20.00,S/2000.00,S/360.00,S/2360.00,IGV incluido
2026-01-05,14:30,LÁCTEOS,Queso,queso "a",und,2,S/20.00,S/40.00,S/7.20,S/47.20,IGV incluido
2026-01-05,14:30,LÁCTEOS,Queso,queso "b",und,2,S/15.00,S/30.00,S/5.40,S/35.40,IGV incluido
2026-01-05,15:00,CEREALES,Granola,granola a granel,,1,S/10.00,S/10.00,S/1.80,S/11.80,IGV incluido
2026-01-05,15:00,CEREALES,Granola,quinua pop a granel,,1,S/10.00,S/10.00,S/1.80,S/11.80,IGV incluido
2026-01-05,15:30,COMIDAS,Almuerzo,personal,,1,S/72.00,S/72.00,S/12.96,S/84.96,IGV incluido
2026-01-05,16:00,ESPECIAS,Pimienta,pimienta suelta,,1,S/2.40,S/2.40,S/0.43,S/2.83,IGV incluido
